relativetimestamp,antennastate,prxetc,phaserads,x,y,epc96
1571682,0,30.70062768,4.14788405,1,1,e280116060000209e445f01a
1589030,0,16.70062768,3.080233422,0,1,e280116060000209e445ba0a
1602049,0,16.70062768,3.086369345,0,1,e280116060000209e445ba0a
1630248,0,16.70062768,3.03728196,0,1,e280116060000209e445ba0a
1650885,0,31.70062768,4.976233676,1,0,e280116060000209e4454c2a
1663936,0,32.70062768,5.399612373,1,0,e280116060000209e4454c2a
1677210,0,16.70062768,3.055689729,0,1,e280116060000209e445ba0a
1690731,0,16.70062768,3.061825653,0,1,e280116060000209e445ba0a
1704878,0,15.70038876,1.828505099,0,1,e280116060000209e445ba0a
1718053,0,15.70038876,1.9082721,0,1,e280116060000209e445ba0a
1740257,0,15.70038876,1.877592484,0,1,e280116060000209e445ba0a
1760414,0,15.70038876,1.889864331,0,1,e280116060000209e445ba0a
1773277,0,15.70038876,1.877592484,0,1,e280116060000209e445ba0a
1800281,0,15.70038876,1.797825483,0,1,e280116060000209e445ba0a
1813477,0,15.70038876,1.846912869,0,1,e280116060000209e445ba0a
1840407,0,15.70038876,1.902136177,0,1,e280116060000209e445ba0a
1852848,0,15.70038876,1.865320638,0,1,e280116060000209e445ba0a
1880191,0,15.70038876,1.902136177,0,1,e280116060000209e445ba0a
1906182,0,16.70014479,4.111068512,0,1,e280116060000209e445ba0a
1919033,0,31.70014479,4.82897152,1,1,e280116060000209e445f01a
1932520,0,33.70014479,4.970097753,1,1,e280116060000209e445f01a
1944855,0,34.70014479,6.221826076,1,0,e280116060000209e4454c2a
1970198,0,16.70014479,4.098796665,0,1,e280116060000209e445ba0a
1990221,0,16.70014479,4.098796665,0,1,e280116060000209e445ba0a
2010505,0,16.70014479,4.117204435,0,1,e280116060000209e445ba0a
2023674,0,33.70014479,0.56450493,0,0,e280116060000209e4454a0a
2036233,0,31.70014479,5.074408446,1,1,e280116060000209e445f01a
2060588,0,16.70014479,4.098796665,0,1,e280116060000209e445ba0a
2072996,0,16.70014479,4.098796665,0,1,e280116060000209e445ba0a
2084812,0,16.70014479,4.117204435,0,1,e280116060000209e445ba0a
2097220,0,32.70014479,4.921010368,1,1,e280116060000209e445f01a
2120280,0,17.69989575,4.626486056,0,1,e280116060000209e445ba0a
2132660,0,31.69989575,1.497165249,0,0,e280116060000209e4454a0a
2160206,0,32.69989575,0.595184546,1,0,e280116060000209e4454c2a
2180342,0,17.69989575,4.626486056,0,1,e280116060000209e445ba0a
2200358,0,32.69989575,0.497009775,1,0,e280116060000209e4454c2a
2213259,0,31.69989575,5.27689391,1,1,e280116060000209e445f01a
2225559,0,16.69989575,4.638757903,0,1,e280116060000209e445ba0a
2250079,0,33.69989575,0.816077779,1,0,e280116060000209e4454c2a
2262989,0,30.69989575,1.515573018,0,0,e280116060000209e4454a0a
2275313,0,17.69989575,4.626486056,0,1,e280116060000209e445ba0a
2300044,0,17.69989575,4.632621979,0,1,e280116060000209e445ba0a
2320391,0,16.70604931,0.705631162,0,1,e280116060000209e445ba0a
2340318,0,16.70604931,0.742446701,0,1,e280116060000209e445ba0a
2352930,0,16.70604931,0.748582624,0,1,e280116060000209e445ba0a
2380032,0,16.70604931,0.773126317,0,1,e280116060000209e445ba0a
2400395,0,16.70604931,0.77926224,0,1,e280116060000209e445ba0a
2420634,0,15.70604931,0.754718548,0,1,e280116060000209e445ba0a
2450124,0,16.70604931,0.77926224,0,1,e280116060000209e445ba0a
2470365,0,16.70604931,0.730174855,0,1,e280116060000209e445ba0a
2482632,0,16.70604931,0.736310778,0,1,e280116060000209e445ba0a
2510194,0,16.70604931,0.766990394,0,1,e280116060000209e445ba0a
2523219,0,15.70604931,1.2455924,0,1,e280116060000209e445ba0a
2537768,0,15.70604931,1.2455924,0,1,e280116060000209e445ba0a
2561638,0,15.70604931,1.257864246,0,1,e280116060000209e445ba0a
2575587,0,15.70604931,1.22718463,0,1,e280116060000209e445ba0a
2587774,0,15.70604931,1.233320553,0,1,e280116060000209e445ba0a
2610089,0,15.70604931,1.257864246,0,1,e280116060000209e445ba0a
2640026,0,15.70604931,1.233320553,0,1,e280116060000209e445ba0a
2653334,0,15.70604931,1.251728323,0,1,e280116060000209e445ba0a
2680212,0,15.70604931,1.270136092,0,1,e280116060000209e445ba0a
2693233,0,15.70604931,1.251728323,0,1,e280116060000209e445ba0a
2725985,0,33.70604399,0.042951462,1,1,e280116060000209e445f01a
2739567,0,16.70604399,5.675728915,0,1,e280116060000209e445ba0a
2751570,0,16.70604399,5.730952224,0,1,e280116060000209e445ba0a
2770101,0,16.70604399,5.7248163,0,1,e280116060000209e445ba0a
2790213,0,31.70604399,2.932971266,0,0,e280116060000209e4454a0a
2802951,0,16.70604399,5.706408531,0,1,e280116060000209e445ba0a
2815283,0,16.70604399,5.706408531,0,1,e280116060000209e445ba0a
2827936,0,34.70604399,0.21475731,1,1,e280116060000209e445f01a
2840693,0,36.70604399,2.656854725,1,0,e280116060000209e4454c2a
2853393,0,33.70604399,2.172116796,1,0,e280116060000209e4454c2a
2881034,0,35.70604399,2.675262494,1,0,e280116060000209e4454c2a
2893669,0,33.70604399,2.165980872,1,0,e280116060000209e4454c2a
2905646,0,33.70604399,0.177941771,1,1,e280116060000209e445f01a
2919224,0,34.70604399,0.337475773,1,1,e280116060000209e445f01a
2938435,0,15.70603335,2.528000338,0,1,e280116060000209e445ba0a
2970004,0,31.70603335,4.239922898,1,0,e280116060000209e4454c2a
2983487,0,31.70603335,4.595806441,1,0,e280116060000209e4454c2a
2995948,0,15.70603335,2.528000338,0,1,e280116060000209e445ba0a
3008758,0,15.70603335,2.58935957,0,1,e280116060000209e445ba0a
3020782,0,15.70603335,2.515728492,0,1,e280116060000209e445ba0a
3040199,0,15.70603335,2.552544031,0,1,e280116060000209e445ba0a
3052567,0,15.70603335,2.558679954,0,1,e280116060000209e445ba0a
3080268,0,15.70603335,2.577087724,0,1,e280116060000209e445ba0a
3100535,0,15.70603335,2.521864415,0,1,e280116060000209e445ba0a
3112684,0,15.70603335,2.583223647,0,1,e280116060000209e445ba0a
3131121,0,30.7060174,2.086213872,0,0,e280116060000209e4454a0a
3150202,0,16.7060174,4.96396183,0,1,e280116060000209e445ba0a
3163326,0,16.7060174,4.957825906,0,1,e280116060000209e445ba0a
3175379,0,31.7060174,5.497787144,1,1,e280116060000209e445f01a
3200058,0,16.7060174,4.96396183,0,1,e280116060000209e445ba0a
3212684,0,16.7060174,4.96396183,0,1,e280116060000209e445ba0a
3225934,0,33.7060174,1.178097245,1,0,e280116060000209e4454c2a
3238220,0,31.7060174,2.061670179,0,0,e280116060000209e4454a0a
3250238,0,16.7060174,4.951689983,0,1,e280116060000209e445ba0a
3263352,0,32.7060174,1.306951631,1,0,e280116060000209e4454c2a
3275547,0,32.7060174,5.614369684,1,1,e280116060000209e445f01a
3287983,0,32.7060174,1.337631247,1,0,e280116060000209e4454c2a
3310194,0,16.7060174,4.976233676,0,1,e280116060000209e445ba0a
3336070,0,16.70599614,5.454835682,0,1,e280116060000209e445ba0a
3360150,0,16.70599614,5.454835682,0,1,e280116060000209e445ba0a
3372776,0,17.70599614,5.467107528,0,1,e280116060000209e445ba0a
3400214,0,16.70599614,5.442563835,0,1,e280116060000209e445ba0a
3412808,0,16.70599614,5.460971605,0,1,e280116060000209e445ba0a
3425132,0,31.70599614,2.755029495,0,0,e280116060000209e4454a0a
3437656,0,31.70599614,2.791845034,0,0,e280116060000209e4454a0a
3450437,0,16.70599614,5.467107528,0,1,e280116060000209e445ba0a
3462785,0,16.70599614,5.436427912,0,1,e280116060000209e445ba0a
3474966,0,31.70599614,2.779573188,0,0,e280116060000209e4454a0a
3500620,0,31.70599614,2.896155728,0,0,e280116060000209e4454a0a
3512618,0,16.70599614,5.460971605,0,1,e280116060000209e445ba0a
3525168,0,31.70599614,2.736621726,0,0,e280116060000209e4454a0a
